#{"t_start": 1752008647.325863, "env_id": "None"}
r,l,t
-2.617926,1,849.398129
-2.720752,1,849.459541
-2.730278,1,849.510352
-2.665079,1,849.566418
-2.98247,1,849.617037
-2.764427,1,849.664766
-2.806132,1,849.726302
-2.929521,1,849.779771
-2.857679,1,849.836121
-2.823899,1,849.884963
-2.773144,1,849.937096
-2.723742,1,849.993581
-2.853161,1,850.050056
-2.561835,1,850.099956
-2.791819,1,850.155556
-2.558588,1,850.218107
-2.573795,1,850.268172
-2.743528,1,850.314009
-2.737152,1,850.362757
-2.864646,1,850.427223
-2.880223,1,850.476683
-2.703184,1,850.524743
-2.783062,1,850.573319
-2.682447,1,850.633291
-2.678713,1,850.687363
-2.723156,1,850.732321
-2.840465,1,850.780645
-2.876673,1,850.841672
-2.720797,1,850.893877
-2.620364,1,850.945425
-2.6641,1,850.993169
-2.670443,1,851.038543
-2.763571,1,851.113053
-2.586054,1,851.168687
-2.744571,1,851.217967
-2.733404,1,851.269481
-2.824581,1,851.322078
-2.733545,1,851.379277
-2.630465,1,851.429118
-2.78087,1,851.47699
-2.788477,1,851.525647
-2.782317,1,851.581189
-2.490939,1,851.642303
-2.647102,1,851.690298
-3.035384,1,851.740226
-2.748917,1,851.791685
-2.659603,1,851.855292
-2.782407,1,851.901555
-2.613038,1,851.954782
-2.615687,1,852.009957
-2.958552,1,852.061576
-2.71524,1,852.120052
-2.817036,1,852.169268
-2.525255,1,852.230754
-2.804498,1,852.282499
-2.616856,1,852.337044
-2.781831,1,852.377761
-2.848476,1,852.4312
-2.726148,1,852.496823
-2.64182,1,852.549505
-2.737033,1,852.598704
-2.639251,1,852.647559
-2.690255,1,852.699823
-2.830357,1,852.760949
-3.014325,1,852.805976
-2.599075,1,852.852717
-2.916319,1,852.909919
-2.820963,1,852.968261
-2.797252,1,853.019122
-2.8781,1,853.070401
-2.671728,1,853.132565
-2.830216,1,853.185145
-2.707812,1,853.238771
-2.77794,1,853.293341
-2.655761,1,853.349593
-2.621005,1,853.398124
-2.848008,1,853.446391
-2.713883,1,853.501183
-2.818289,1,853.559122
-2.712989,1,853.613707
-2.782879,1,853.664752
-2.948226,1,853.732684
-3.041376,1,853.782072
-2.799753,1,853.834864
-2.857493,1,853.890923
-2.840481,1,853.946159
-2.6127,1,853.998919
-2.760135,1,854.062888
-2.896097,1,854.11011
-2.728777,1,854.1667
-2.743269,1,854.214686
-2.785324,1,854.26526
-2.762437,1,854.318894
-2.963967,1,854.366223
-2.777001,1,854.419941
-2.861026,1,854.461468
-2.760264,1,854.52426
-2.787622,1,854.577482
-2.584197,1,854.63724
-2.672485,1,854.694274
-2.6853,1,854.746701
-2.902539,1,854.796451
-2.659399,1,854.853302
-2.755258,1,854.9087
-2.78106,1,854.966489
-2.78807,1,855.018236
-2.802331,1,855.068109
-2.800034,1,855.121217
-2.714341,1,855.178448
-2.782421,1,855.232117
-2.653058,1,855.281625
-2.636372,1,855.330723
-2.736001,1,855.39874
-2.72431,1,855.46471
-2.720302,1,855.523749
-2.874055,1,855.580246
-2.843835,1,855.644371
-2.672079,1,855.695986
-2.908854,1,855.748006
-2.816278,1,855.803432
-2.64227,1,855.857377
-2.804568,1,855.907314
-2.777131,1,855.954583
-2.742102,1,856.007929
-2.472646,1,856.065192
-2.788733,1,856.115236
-2.858657,1,856.166837
-2.731822,1,856.21514
-2.704235,1,856.271193
-2.779882,1,856.329047
-2.782418,1,856.378172
-2.676732,1,856.431921
-2.560032,1,856.478004
-2.805248,1,856.532178
-2.86579,1,856.583602
-2.725812,1,856.643337
-2.727708,1,856.690511
-2.909755,1,856.739777
-2.845407,1,856.808383
-2.617687,1,856.861686
-2.703275,1,856.91764
-2.913872,1,856.965842
-2.890165,1,857.016978
-2.794522,1,857.074385
-2.49589,1,857.127529
-2.601445,1,857.177266
-2.86593,1,857.225388
-2.657774,1,857.276003
-2.777428,1,857.324468
-2.710895,1,857.373672
-2.781643,1,857.431855
-2.786062,1,857.485158
-2.730697,1,857.544767
-2.729247,1,857.616218
-2.852761,1,857.67711
-2.734873,1,857.730002
-2.815226,1,857.782457
-2.851903,1,857.839891
-2.951131,1,857.889993
-2.702144,1,857.948527
-2.751911,1,857.996747
-2.709575,1,858.047085
-2.920628,1,858.105604
-2.781614,1,858.160366
-2.696539,1,858.21666
-2.672822,1,858.269784
-2.771118,1,858.321899
-2.718661,1,858.380112
-2.741298,1,858.434408
-2.769449,1,858.484246
-2.464979,1,858.532987
-2.801974,1,858.592566
-2.701258,1,858.656138
-2.797457,1,858.72599
-2.863822,1,858.777229
-2.758595,1,858.845084
-2.791803,1,858.905538
-2.5002,1,858.962032
-2.945623,1,859.027248
-2.683681,1,859.10986
-2.852417,1,859.169295
-2.906843,1,859.230618
-2.738218,1,859.287868
-2.596262,1,859.351245
-2.735093,1,859.413255
-2.779819,1,859.478453
-2.837311,1,859.533361
-2.653598,1,859.596912
-2.629439,1,859.655779
-2.888713,1,859.725436
-2.561135,1,859.777794
-2.913524,1,859.86114
-2.657951,1,859.919347
-2.618504,1,859.984782
-2.788295,1,860.044287
-2.655516,1,860.112072
-2.800116,1,860.175391
-2.675352,1,860.22938
-2.755192,1,860.287328
-2.829249,1,860.347177
-2.697971,1,860.389921
-2.50186,1,860.447556
-2.741165,1,860.512918
-2.63634,1,860.565771
-2.693637,1,860.613958
-2.918181,1,860.665282
-2.793432,1,860.712722
-2.81428,1,860.776898
-2.486136,1,860.826884
-2.837712,1,860.877671
-2.70086,1,860.933261
-2.73623,1,860.987381
-2.679509,1,861.039413
-2.615551,1,861.087471
-2.579669,1,861.146426
-2.643497,1,861.19448
-2.778708,1,861.247053
-2.779356,1,861.307129
-2.542983,1,861.358308
-2.639924,1,861.407631
-2.853304,1,861.461191
-2.617844,1,861.51825
-2.80379,1,861.566247
-2.882516,1,861.615001
-2.777543,1,861.672051
-2.527886,1,861.731977
-2.831412,1,861.780289
-2.725549,1,861.830121
-2.601892,1,861.889984
-2.795863,1,861.942694
