timestamp,open,high,low,close,volume,quote_volume
2022-10-25,274.69,290.1,272.15,284.04,1032.5787,294661.285788
2022-10-26,284.76,291.97,284.69,290.37,730.4852,211162.40488
2022-10-27,291.82,293.19,284.46,287.28,686.6652,198791.816995
2022-10-28,287.33,301.05,285.89,298.42,866.8859,255727.010356
2022-10-29,297.38,308.9,295.88,304.16,857.604,260174.397531
2022-10-30,304.47,318.74,302.49,313.95,1079.8452,337526.830763
2022-10-31,313.61,337.51,306.66,325.74,2032.2112,660144.972005
2022-11-01,325.65,334.35,317.59,324.09,1495.5882,484459.331799
2022-11-02,324.21,329.04,315.58,320.43,872.8055,281784.040864
2022-11-03,319.47,338.62,318.37,327.64,559.8095,184947.199702
2022-11-04,328.49,358.84,328.48,354.43,893.4159,309534.598202
2022-11-05,354.98,360.71,346.6,349.26,546.6218,193365.738722
2022-11-06,348.66,355.63,337.98,338.41,410.6662,143434.377705
2022-11-07,337.54,344.0,327.25,336.93,1135.865,382525.814268
2022-11-08,337.39,396.22,288.27,327.23,4918.9966,1624392.187852
2022-11-09,327.27,332.49,260.1,265.75,2588.1498,768554.113526
2022-11-10,264.95,311.5,263.55,303.89,3220.6327,923525.254061
2022-11-11,302.3,304.08,276.77,289.09,980.7017,284789.604697
2022-11-12,289.68,292.86,271.3,281.96,609.715,172020.320652
2022-11-13,281.96,285.79,269.17,276.32,1137.6176,316391.89408
2022-11-14,276.23,291.89,266.7,277.76,1586.8838,446755.934866
2022-11-15,278.72,281.63,273.17,276.62,540.1046,149766.750321
2022-11-16,276.43,279.7,263.46,271.87,496.7479,135342.674728
2022-11-17,271.86,273.25,257.68,267.98,1082.0963,290721.403573
2022-11-18,267.66,274.46,267.66,273.64,211.2021,57531.709881
2022-11-19,274.26,274.26,267.16,272.41,541.4088,146839.677894
2022-11-20,272.53,273.53,261.6,264.09,363.8776,97889.245057
2022-11-21,263.7,264.42,250.0,253.59,494.3161,126653.818211
2022-11-22,254.01,267.0,251.66,265.58,484.7339,125695.932235
2022-11-23,266.78,301.0,264.91,298.26,1008.5665,288785.279398
2022-11-24,298.78,303.33,293.73,300.44,292.3711,87161.679766
2022-11-25,300.04,305.63,294.46,300.32,523.0147,156624.827309
2022-11-26,300.56,317.44,300.01,311.17,319.5027,99488.583112
2022-11-27,311.13,316.32,306.56,307.48,391.9322,122444.690624
2022-11-28,307.94,309.14,287.86,293.5,1148.8348,340135.032561
2022-11-29,293.12,304.9,289.12,295.0,619.6308,185134.962182
2022-11-30,296.1,305.26,292.98,300.5,1103.8637,331096.82693
2022-12-01,300.8,301.83,289.78,292.14,1197.6713,354268.214405
2022-12-02,292.25,294.99,285.55,293.56,724.9847,210722.261217
2022-12-03,293.51,293.96,289.27,290.45,291.2599,84931.967912
2022-12-04,290.86,292.48,287.86,292.48,270.9215,78724.122773
2022-12-05,291.79,297.11,286.28,288.4,359.7672,105105.354872
2022-12-06,289.02,290.55,286.86,290.55,149.8604,43276.925442
2022-12-07,289.99,290.61,281.29,284.53,296.5078,84276.387699
2022-12-08,284.05,291.74,282.74,290.61,392.3788,112709.116654
2022-12-09,290.61,292.07,284.93,285.76,572.9757,164890.597628
2022-12-10,285.95,289.35,285.88,287.85,232.9236,66951.523377
2022-12-11,288.04,291.08,283.5,284.25,208.9367,60279.119703
2022-12-12,284.3,285.54,261.0,276.08,1503.9028,416022.495935
2022-12-13,276.61,281.73,255.83,271.75,2934.9125,783894.551786
2022-12-14,272.79,278.11,265.83,268.29,1373.4891,372544.121458
2022-12-15,268.06,268.06,240.0,258.47,1908.2814,493287.689232
2022-12-16,258.47,264.51,225.0,230.97,2155.2817,526056.903935
2022-12-17,230.97,244.61,220.14,242.26,2702.62749166,628215.0188277182
2022-12-18,242.25,253.82,239.69,250.78,1971.2419,487719.022504
2022-12-19,251.23,253.2,237.27,240.4,1887.5076,465412.431272
2022-12-20,240.81,253.03,239.51,251.55,725.6474,180499.968465
