step,timestamp,size,price,fee,slippage,impact,position,balance,portfolio_value
6228,2018-09-19 21:00:00,-0.183,6393.20467643226,0.8774673418403277,-0.27490273460903913,-1.5204208331304212,0.07399999999999968,8212.843328766749,8687.337838144273
6229,2018-09-19 22:00:00,-0.606,6381.411530282832,2.9003515405135474,-0.9089865905990799,-4.429483126569086,-0.5320000000000003,12076.885007808263,8685.462828766746
6230,2018-09-19 23:00:00,-0.662,6386.270409870839,3.170783258500872,-0.9942189682931019,-4.625371160867756,-1.1940000000000004,16301.194441169993,8676.399527808262
6231,2018-09-20 00:00:00,0.861,6427.787800918741,4.150743972443277,1.2967434833411142,6.421057435400196,-0.3330000000000004,10762.397931124902,8635.630861169991
6232,2018-09-20 01:00:00,0.6990000000000001,6413.18388949409,3.362111654067277,1.0470324749174018,5.016857019172352,0.36599999999999966,6275.77060492509,8628.8269711249
6233,2018-09-20 02:00:00,-0.37,6383.0869694594,1.7713066340249835,-0.5520565996588003,-2.4109739409416924,-0.004000000000000337,8635.623389882108,8613.064904925088
6234,2018-09-20 03:00:00,-1.299,6387.0863895674975,6.222618915036134,-1.9461426427740092,-8.257467789728278,-1.3030000000000004,16925.8110036974,8610.034229882107
6235,2018-09-20 04:00:00,1.599,6402.606666591611,7.678326044909991,2.394157838460172,8.852508753151591,0.2959999999999996,6679.805195453526,8597.868923697397
6236,2018-09-20 05:00:00,0.779,6394.645889826584,3.736071861131182,1.1652009387724092,4.430688887810605,1.0749999999999997,1694.3909039600776,8570.963995453523
6237,2018-09-20 06:00:00,-1.726,6384.800453096602,8.265124186533551,-2.5728547322343784,-12.536692171164274,-0.6510000000000002,12705.740353539175,8574.294153960076
6238,2018-09-20 07:00:00,0.886,6419.129998841609,4.26551188423025,1.3233089516348062,6.806689889974034,0.23499999999999976,7013.817473527124,8532.179353539173
6239,2018-09-20 08:00:00,-0.013000000000000001,6387.8289422127955,0.062281332186574764,-0.019140838435804237,-0.13191694876810942,0.22199999999999975,7096.792816354891,8514.992773527123
6240,2018-09-20 09:00:00,-1.0090000000000001,6373.956386174547,4.823491495237589,-1.4895075402790197,-11.55410628517326,-0.7870000000000004,13522.96975241009,8514.70681635489
6241,2018-09-20 10:00:00,1.839,6442.078008169794,8.885236092768189,2.7229207821159,24.355087387678285,1.0519999999999996,1666.481893981636,8474.364752410089
6242,2018-09-20 11:00:00,-0.251,6422.660929977956,1.2090659200683502,-0.3693666723158099,-4.849703349728889,0.8009999999999996,3277.2801170913635,8428.611653981634
6243,2018-09-20 12:00:00,-1.008,6405.628402525065,4.84265507230895,-1.4832195074664674,-17.88837796746807,-0.2070000000000004,9728.988048092833,8423.705117091362
6244,2018-09-20 13:00:00,0.759,6435.694483074279,3.6635190844900336,1.1164379281841093,12.5780451460946,0.5519999999999996,4840.380594112346,8399.63404809283
6245,2018-09-20 14:00:00,-1.085,6394.33833639805,5.203392821243913,-1.5944411084643924,-19.077222493485195,-0.5330000000000004,11772.687403428237,8381.466114112343
6246,2018-09-20 15:00:00,1.151,6383.584827414442,5.510629602265517,1.337033959406692,-35.67220654496465,0.6179999999999997,4419.283737328603,8351.936043428235
6247,2018-09-20 16:00:00,0.333,6420.265160408981,1.6034612238121428,0.10351292172624771,-1.828352512745632,0.9509999999999996,2279.6250802736795,8388.0735573286
6248,2018-09-20 17:00:00,0.096,6400.065829612959,0.4608047397321331,0.029199160823794007,-0.4733695478657015,1.0469999999999997,1664.727235575121,8366.510090273678
6249,2018-09-20 18:00:00,-1.399,6412.784024601636,6.728613637813266,-0.4098675826128671,6.193892184247957,-0.3520000000000003,10629.034898112475,8372.85623557512
6250,2018-09-20 19:00:00,-0.905,6423.449861883035,4.35991659375311,-0.2640309948805215,3.7038928779143983,-1.2570000000000003,16437.59354676639,8369.191378112473
6251,2018-09-20 20:00:00,0.845,6375.208202002032,4.0402881980187875,0.24869982349065903,-3.5104978214597304,-0.41200000000000037,11046.187211992277,8419.856756766389
6252,2018-09-20 21:00:00,-0.743,6493.319985693582,3.618402562027749,-0.24578147402100683,3.5057671676024524,-1.1550000000000002,15866.849069949873,8372.282491992275
6253,2018-09-20 22:00:00,0.77,6527.610939282214,3.769695317435479,0.46850143729329624,-4.1475621550801876,-0.38500000000000023,10836.524581058318,8323.209119949872
6254,2018-09-20 23:00:00,-0.146,6492.9042584690615,0.7109730163023622,-0.08942726986939187,0.9936857389307747,-0.5310000000000002,11783.715965481522,8337.104581058316
6255,2018-09-21 00:00:00,1.451,6507.196003398034,7.081456050697911,0.9402876619421664,-10.224284263907702,0.9199999999999998,2334.2012611398204,8323.46508548152
6256,2018-09-21 01:00:00,-1.169,6510.952542255364,5.708477641422391,-0.7595851417312258,9.702127397094895,-0.24900000000000022,9939.415740218825,8316.05046113982
6257,2018-09-21 02:00:00,1.27,6545.105956094856,6.234213423180352,0.8393361969426358,-11.403380102087302,1.021,1620.4720311932324,8307.053910218823
6258,2018-09-21 03:00:00,-0.758,6563.305328669017,3.7312390793483368,-0.5253404361036971,9.130669105120909,0.2629999999999999,6591.477481973043,8312.820731193231
6259,2018-09-21 04:00:00,-0.14200000000000002,6550.382242315909,0.6976157088066445,-0.09843971974254902,2.420682035651228,0.12099999999999989,7520.887636959175,8313.617261973042
6260,2018-09-21 05:00:00,-0.318,6543.856164076149,1.5607096951321615,-0.21623883867819507,8.222402914826562,-0.19700000000000012,9600.16914012725,8311.725486959174
6261,2018-09-21 06:00:00,0.093,6545.080482862861,0.45651936367968454,0.06384106391183628,-5.053358201050814,-0.10400000000000012,8990.982336142953,8309.805350127248
6262,2018-09-21 07:00:00,-0.911,7030.560139656401,4.803630215420236,-0.6282856140860398,383.2784252704871,-1.0150000000000001,15390.69480489221,8299.599696142952
6263,2018-09-21 08:00:00,1.208,6731.405325416123,6.0986532248270064,0.9672555212465099,29.108069894876568,0.19299999999999984,7252.613118338589,8588.84485489221
6264,2018-09-21 09:00:00,0.316,6709.744414716447,1.590209426287798,0.2586013554866548,3.475813360959933,0.5089999999999999,5130.6376599001505,8546.873048338588
6265,2018-09-21 10:00:00,0.324,6698.1203112415005,1.6276432356316846,0.2639281450761368,2.966383096423289,0.833,2958.7105262732307,8538.336669900149
6266,2018-09-21 11:00:00,-0.226,6740.38969700221,1.1424960536418745,-0.1859314252083749,-1.6543715725811998,0.607,4480.819935338512,8574.98811627323
6267,2018-09-21 12:00:00,-0.246,6730.324612037763,1.2417448909209672,-0.20448827479490833,-1.4908996874430507,0.361,6135.155262016152,8567.156075338513
6268,2018-09-21 13:00:00,-0.326,6725.7626539013445,1.6444489688788786,-0.27311221791609763,-1.7942338807400995,0.034999999999999976,8325.999808287852,8563.901892016152
6269,2018-09-21 14:00:00,-0.021,6721.469796819419,0.10586314929990585,-0.017294414353822344,-0.1029087662274842,0.013999999999999974,8467.037753328474,8561.255458287851
6270,2018-09-21 15:00:00,0.647,6684.812149792527,3.243805095686824,0.5331885089731064,2.62896128355421,0.661,4138.504233643976,8560.580853328473
6271,2018-09-21 16:00:00,-1.039,6712.90468077762,5.231030972495961,-0.8971918267483304,-3.4281273956313556,-0.3779999999999999,11107.632430601261,8578.593263643976
6272,2018-09-21 17:00:00,-0.292,6702.143317001285,1.4677693864232813,-0.24045510021221372,-0.9562278985031718,-0.6699999999999999,13062.824809549169,8573.769910601262
6273,2018-09-21 18:00:00,1.373,6745.5656768389745,6.946246255724934,0.9479025619808155,4.637774276993716,0.7030000000000001,3793.7280308721456,8547.03820954917
6274,2018-09-21 19:00:00,-1.002,6744.867355285676,5.068767817497186,-0.6865545803185422,-3.5760901340056943,-0.29899999999999993,10546.678435196396,8538.366420872146
6275,2018-09-21 20:00:00,-0.063,6707.736416997013,0.31694054570310887,-0.040303366839763016,-0.223279636147011,-0.36199999999999993,10968.916311538092,8540.986435196397
6276,2018-09-21 21:00:00,-0.042,6727.792847740504,0.2119254747038259,-0.028507604442764976,-0.1486446550533087,-0.4039999999999999,11251.243655904309,8533.391171538093
6277,2018-09-21 22:00:00,0.327,6739.143257148847,1.6527748838157548,0.21958530667877466,1.0636718421684899,-0.0769999999999999,9045.765313866137,8529.14821590431
6278,2018-09-21 23:00:00,1.332,6764.370633442585,6.7576062628091425,0.8548282348415314,4.495805207743606,1.2550000000000001,28.412546199759163,8525.320773866139
6279,2018-09-22 00:00:00,-0.848,6799.482505651893,4.324470873594604,-0.5479172606116446,-2.91957708749523,0.40700000000000014,5789.76094206073,8566.11479619976
6280,2018-09-22 01:00:00,-0.93,6768.366961939329,4.720935955952682,-0.6078687523535394,-3.0151693083180833,-0.5229999999999999,12079.306551644622,8545.96087206073
6281,2018-09-22 02:00:00,1.063,6743.953471373684,5.3766169050526695,0.7107440855757292,3.332727288107643,0.54,4904.728833833836,8554.333621644622
6282,2018-09-22 03:00:00,0.584,6740.380570881604,2.952286690046143,0.405319638517903,1.8252512430876733,1.124,965.197474636263,8543.329833833835
6283,2018-09-22 04:00:00,-1.139,6749.076101809578,5.765398259970832,-0.6394991808391397,-4.13439900958328,-0.014999999999999902,8646.245396453403,8556.524874636263
6284,2018-09-22 05:00:00,-0.13,6741.788031037404,0.6573243330261469,-0.06712540656374955,-0.5548435560321635,-0.1449999999999999,9521.976117271908,8545.109246453405
6285,2018-09-22 06:00:00,-0.318,6727.276779789654,1.6044555119798327,-0.1649453177369291,-1.4482748926096944,-0.4629999999999999,11659.533145030813,8546.28706727191
6286,2018-09-22 07:00:00,1.684,6727.700851690108,8.497086175684606,0.873930838346837,8.25692085176171,1.221,321.0035970722183,8548.835235030814
6287,2018-09-22 08:00:00,-1.49,6638.932753412788,7.41900735193879,-0.7047185466986361,-7.99252804051328,-0.2689999999999999,10205.099791815202,8437.75982707222
