timestamp,open,high,low,close,volume,quote_volume
2025-04-03,2.3,2.479,2.151,2.264,46712.2,106043.0764
2025-04-04,2.267,2.3,2.107,2.262,32276.84,71985.6016
2025-04-05,2.252,2.274,2.183,2.22,9211.63,20433.39524
2025-04-06,2.212,2.223,1.883,1.922,165514.46,323506.24253
2025-04-07,1.915,2.091,1.716,2.018,119710.9,228552.20799
2025-04-08,2.013,2.099,1.925,1.925,26408.96,52897.59765
2025-04-09,1.921,2.489,1.86,2.222,228790.36,509736.49779
2025-04-10,2.22,2.228,2.059,2.113,31113.86,66300.13366
2025-04-11,2.108,2.247,2.1,2.187,25345.97900356,55736.77998373944
2025-04-12,2.185,2.395,2.12,2.348,23395.86,52883.88978
2025-04-13,2.34,2.418,2.2,2.24,18687.95,42735.52502
2025-04-14,2.228,2.348,2.175,2.192,60554.91,138942.66972
2025-04-15,2.196,2.267,2.0892,2.0892,59877.23,128990.32532
2025-04-16,2.0832,2.1304,2.023,2.049,18621.76,38944.56496
2025-04-17,2.0537,2.1691,2.045,2.1213,7482.6,15701.7106
2025-04-18,2.1252,2.1508,2.0978,2.1176,3677.3,7810.3066
2025-04-19,2.1148,2.1769,2.1148,2.1541,9616.01,20639.765346
2025-04-20,2.1535,2.1701,2.0875,2.1045,8307.0,17619.1589
2025-04-21,2.1127,2.2833,2.1127,2.2007,33316.03,73826.53628
2025-04-22,2.1975,2.7451,2.1391,2.6717,54803.83,131292.21982
2025-04-23,2.6813,3.0766,2.6813,2.9652,109735.11,323531.669105
2025-04-24,2.9734,3.417,2.8026,3.3464,174839.33,550284.523166
2025-04-25,3.329,3.9321,3.2805,3.5204,162164.57,574198.538217
2025-04-26,3.5233,3.6471,3.3603,3.5151,53693.3,185960.64079
2025-04-27,3.5107,3.6523,3.4279,3.5487,17229.4,61528.82045
2025-04-28,3.558,3.8684,3.4061,3.526,32196.8,117144.44985
2025-04-29,3.5285,3.6338,3.4232,3.5342,21300.9,75621.60851
2025-04-30,3.531,3.6033,3.2791,3.5098,23781.2,81166.45719
2025-05-01,3.5201,3.7686,3.4574,3.5552,87791.6,322101.76432
2025-05-02,3.5595,3.5656,3.3807,3.4185,103114.2,356364.42486
2025-05-03,3.4213,3.4606,3.2026,3.3326,20357.4,67741.94273
2025-05-04,3.3505,3.3581,3.0887,3.2791,36510.7,118146.04785
2025-05-05,3.2777,3.5908,3.2155,3.4221,34852.6,119364.54067
2025-05-06,3.4188,3.4188,3.1202,3.3386,79255.08955372,256964.68080080656
2025-05-07,3.3386,3.4451,3.2122,3.3307,24838.0,83260.05386
2025-05-08,3.3464,4.099,3.319,4.0162,110073.3,420039.37382
2025-05-09,4.0387,4.0713,3.8159,3.9495,57291.1,225285.04681
2025-05-10,3.9525,4.1524,3.8448,4.1266,44447.6,176819.04869
2025-05-11,4.1183,4.277,3.8558,4.0037,43994.71,177168.19934
2025-05-12,4.0242,4.2943,3.7913,3.9694,56420.7,226594.06334
2025-05-13,3.9554,4.1523,3.8178,4.0678,62744.7,251000.01321
2025-05-14,4.0632,4.0824,3.855,3.9135,25208.5,100153.34009
2025-05-15,3.9325,3.9574,3.65,3.8477,244836.0,936512.06265
2025-05-16,3.8477,3.9482,3.4902,3.7803,61291.6,232262.04529
2025-05-17,3.7988,3.8601,3.6755,3.7992,9391.7,35472.55364
2025-05-18,3.8131,4.0416,3.6934,3.9382,42180.2,163561.24579
2025-05-19,3.938,3.9728,3.59,3.8484,21330.3,80339.53331
2025-05-20,3.8502,3.9391,3.7844,3.8507,47562.4,185069.81002
2025-05-21,3.8664,4.0678,3.7992,3.9299,52145.0,204297.42617
2025-05-22,3.9526,4.199,3.6418,3.8858,241265.0,933235.27103
2025-05-23,3.8684,3.9574,3.5351,3.568,106594.1,401361.57748
2025-05-24,3.5741,3.6944,3.5303,3.6358,18732.4,67886.32994
2025-05-25,3.6392,3.6658,3.443,3.6064,85389.4,301919.83662
2025-05-26,3.6005,3.6606,3.4591,3.4917,39856.7,139648.36181
2025-05-27,3.4981,3.7338,3.4082,3.6681,60765.2,217009.21261
2025-05-28,3.6654,3.741,3.518,3.6009,26236.8,94830.40107
2025-05-29,3.59,3.7287,3.5132,3.5236,33429.6,121602.38459
2025-05-30,3.536,3.5487,3.1724,3.1882,36045.1,122479.01227
2025-05-31,3.1861,3.3116,3.0591,3.246,53025.39988207,167597.92468979413
2025-06-01,3.2439,3.3638,3.1898,3.3464,17363.8,57313.89082
2025-06-02,3.3385,3.3658,3.2277,3.3337,11262.0,37218.57318
2025-06-03,3.329,3.39,3.2174,3.2445,32541.6,107661.9889
2025-06-04,3.2556,3.2921,3.1601,3.1633,17888.0,57811.98411
2025-06-05,3.1595,3.228,2.886,2.9229,16618.7,49793.05328
2025-06-06,2.9254,3.2207,2.9229,3.195,70374.0,214511.97721
2025-06-07,3.195,3.3116,3.1747,3.2433,21180.2,69234.0517
2025-06-08,3.2363,3.2825,3.1842,3.2207,19438.7,63095.35494
2025-06-09,3.221,3.4682,3.1869,3.4508,12005.8,39838.76554
2025-06-10,3.4417,3.5595,3.3639,3.4914,34861.4,121036.91856
2025-06-11,3.4946,3.5262,3.3464,3.399,4595.3,15979.80064
2025-06-12,3.3869,3.3997,3.1865,3.228,17226.5,57216.2925
2025-06-13,3.21,3.21,2.9247,3.0804,51474.7,155495.34433
2025-06-14,3.0627,3.068,2.7601,2.9534,29536.1,86971.61516
2025-06-15,2.9546,3.0434,2.9534,3.022,15310.4,45941.12873
2025-06-16,3.019,3.156,2.9759,2.9892,31374.7,98371.90789
2025-06-17,2.9892,3.0517,2.8064,2.8401,13220.0,39429.61474
2025-06-18,2.8503,2.9176,2.708,2.8299,37407.2,103935.94971
2025-06-19,2.8299,2.8675,2.7891,2.8299,7233.6,20486.45486
2025-06-20,2.8321,2.8818,2.652,2.716,10647.3,29493.13864
2025-06-21,2.72,2.753,2.4599,2.5756,22022.1,57209.49902
2025-06-22,2.5775,2.616,2.2975,2.4497,148187.9,358155.22112
2025-06-23,2.4449,2.919,2.3988,2.8299,46727.4,120704.80187
2025-06-24,2.8401,2.9125,2.7398,2.796,100965.3,282764.90723
